Borough,Latitude,Lonxitude,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alcabre,42.2181014,-8.7673903,2407,2567,2778,2997,3067,3139,3183,3335,3415,3438,3530,3556,3560,3673,3822,3895,3998,4031,4171,4241,4300
Beade,42.1866194,-8.6985716,5403,5471,5458,5501,5453,5458,5430,5435,5444,5455,5470,5447,5437,5409,5377,5365,5303,5296,5309,5322,5292
Bembrive,42.198095,-8.6765599,3948,3982,3980,4063,4074,4155,4290,4330,4343,4360,4362,4402,4413,4427,4425,4361,4323,4298,4332,4343,4374
Cabral,42.2240068,-8.6567337,6879,6854,6786,6789,6738,6769,6772,6773,6824,6806,6786,6800,6759,6683,6680,6669,6622,6594,6544,6581,6628
Candeán,42.2460821,-8.6573084,4567,4600,4642,4699,4691,4723,4745,4785,4799,4842,4846,4857,4884,4860,4789,4739,4689,4688,4653,4639,4675
Castrelos,42.2067798,-8.7233403,7914,7908,7846,7849,7770,7823,7767,7772,7868,7927,8002,8047,7995,8006,7996,7989,7936,7948,7932,7987,7999
Comesaña,42.1993533,-8.7563773,2690,2809,2953,3031,3178,3290,3544,3716,4014,4361,4593,5138,5811,5905,6134,6219,6311,6364,6486,6513,6530
Coruxo,42.194383,-8.7800074,5201,5282,5284,5344,5353,5372,5387,5360,5299,5347,5308,5261,5349,5343,5301,5296,5336,5338,5310,5289,5324
Freixeiro,42.2191882,-8.7288709,5644,5805,5813,5928,6009,6095,6070,6093,6133,6171,6162,6158,6058,6035,5935,5998,5998,5949,5923,5952,6001
Lavadores,42.2261612,-8.6935987,16485,16494,16483,16667,16775,16952,17064,17176,17339,17727,17844,17984,17956,17878,17669,17587,17490,17484,17468,17522,17514
Matamá,42.1939002,-8.7315989,4233,4239,4254,4247,4206,4151,4126,4047,4029,3997,3939,3921,3868,3880,3831,3801,3809,3784,3711,3716,3669
Navia,42.2083036,-8.7673903,2090,2141,2164,2190,2206,2211,2266,2733,3034,3503,3960,4395,5205,5458,5584,5721,5871,6026,6074,6152,6246
Oia,42.1903143,-8.7998726,3701,3836,3896,3910,3947,3998,3953,3968,4010,4026,4020,4015,3972,3981,3988,3948,3920,3919,3859,3848,3896
Santiago de Vigo,42.2370014,-8.7123299,285526,287282,288324,292566,292059,293725,293255,294772,295703,297332,297124,297241,297355,296479,294997,294098,292817,292986,293642,295364,296692
Sárdoma,42.2166842,-8.7113564,2004,1978,1968,1992,1965,2024,2031,2098,2184,2201,2219,2254,2303,2353,2357,2417,2402,2404,2390,2389,2443
Saiáns,42.170616,-8.8114697,1070,1064,1068,1067,1048,1082,1104,1145,1171,1169,1156,1159,1153,1168,1191,1188,1204,1190,1177,1166,1169
Teis,42.2539025,-8.6806583,2397,2388,2377,2402,2349,2330,2313,2301,2272,2262,2273,2229,2453,2714,2864,3016,2843,2628,2486,2404,2317
Valadares,42.1770088,-8.7276238,5328,5426,5453,5468,5484,5471,5475,5409,5410,5419,5406,5387,5356,5361,5391,5403,5391,5354,5397,5357,5382
Zamáns,42.1576023,-8.685751,742,753,760,780,792,789,804,791,804,814,834,840,842,834,828,842,831,821,819,839,839
